Trial,Seed,Scenario,Policy,Route_Name,Available,Contact_Probability,Stressed_Optical_Success_Lower,Physical_Success_Lower,PAT_s,Propagation_s,Policy_Score,Selected
2,100001,Direct_Pointing_25pct_Power,B2_Contact_Aware,Earth_Relay2_Mars,1,0.64629776674071149,0.99995346330666024,0.64626769017973451,120,1314.5143313016383,0.64629776674071149,0
2,100001,Direct_Pointing_25pct_Power,B3_Physical_Success,Direct_Earth_to_Mars,1,0.80392646849118699,0,0,60,1307.848734009463,0,0
2,100001,Direct_Pointing_25pct_Power,B3_Physical_Success,Earth_Relay0_Mars,1,0.64629776674071149,0.99994188215671953,0.64626020530839157,120,1573.8844223533665,0.64626020530839157,0
2,100001,Direct_Pointing_25pct_Power,B3_Physical_Success,Earth_Relay1_Mars,0,0.64629776674071149,0,0,120,1512.6367716714731,-1,0
2,100001,Direct_Pointing_25pct_Power,B3_Physical_Success,Earth_Relay2_Mars,1,0.64629776674071149,0.99995346330666024,0.64626769017973451,120,1314.5143313016383,0.64626769017973451,1
2,100001,Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Direct_Earth_to_Mars,1,0.80392646849118699,0,0,60,1307.848734009463,0,0
2,100001,Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Earth_Relay0_Mars,1,0.64629776674071149,0.99994188215671953,0.64626020530839157,120,1573.8844223533665,0.26851100987754423,0
2,100001,Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Earth_Relay1_Mars,0,0.64629776674071149,0,0,120,1512.6367716714731,-1,0
2,100001,Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Earth_Relay2_Mars,1,0.64629776674071149,0.99995346330666024,0.64626769017973451,120,1314.5143313016383,0.32149530830745848,1
2,100001,Direct_Pointing_10pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0.80392646849118699,0,0,60,1307.848734009463,1,1
2,100001,Direct_Pointing_10pct_Power,B1_Shortest_Delay,Earth_Relay0_Mars,1,0.64629776674071149,0.99994188215671953,0.64626020530839157,120,1573.8844223533665,0.83096872644173514,0
2,100001,Direct_Pointing_10pct_Power,B1_Shortest_Delay,Earth_Relay1_Mars,0,0.64629776674071149,0,0,120,1512.6367716714731,-1,0
2,100001,Direct_Pointing_10pct_Power,B1_Shortest_Delay,Earth_Relay2_Mars,1,0.64629776674071149,0.99995346330666024,0.64626769017973451,120,1314.5143313016383,0.99492923193498006,0
