Condition,Base_Scenario,Factor_Name,Factor_Value,Trial,Seed,Policy,Route_Name,Available,Hop_Count,Bottleneck_Photons_Per_Slot,Contact_Probability,Optical_Success_Lower,Physical_Success_Lower,PAT_s,Propagation_s,Policy_Score,Selected
PointingFactor1.000000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,1,2,1000001,B2_Contact_Aware,Earth_Relay1_Mars,0,2,61.376726032051906,0.7223086082527399,0.99999999999936684,0.7223086082522826,120,1266.6152805556267,-1,0
PointingFactor1.000000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,1,2,1000001,B2_Contact_Aware,Earth_Relay2_Mars,1,2,50.523033132309187,0.7223086082527399,0.99999999802119521,0.72230860682343212,120,1114.7622366446549,0.7223086082527399,0
PointingFactor1.000000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,1,2,1000001,B3_Physical_Success,Direct_Earth_to_Mars,1,1,50.799971723706797,0.84988740916237837,0.99999999919158278,0.84988740847531474,60,1108.3930403289255,0.84988740847531474,1
PointingFactor1.000000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,1,2,1000001,B3_Physical_Success,Earth_Relay0_Mars,1,2,44.323562481308997,0.7223086082527399,0.99999982719934155,0.72230848343733678,120,1438.2680836363488,0.72230848343733678,0
PointingFactor1.000000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,1,2,1000001,B3_Physical_Success,Earth_Relay1_Mars,0,2,61.376726032051906,0.7223086082527399,0.99999999999936684,0.7223086082522826,120,1266.6152805556267,-1,0
PointingFactor1.000000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,1,2,1000001,B3_Physical_Success,Earth_Relay2_Mars,1,2,50.523033132309187,0.7223086082527399,0.99999999802119521,0.72230860682343212,120,1114.7622366446549,0.72230860682343212,0
PointingFactor1.000000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,1,2,1000001,B4_Physical_Multiobjective,Direct_Earth_to_Mars,1,1,50.799971723706797,0.84988740916237837,0.99999999919158278,0.84988740847531474,60,1108.3930403289255,0.84988740847531474,1
PointingFactor1.000000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,1,2,1000001,B4_Physical_Multiobjective,Earth_Relay0_Mars,1,2,44.323562481308997,0.7223086082527399,0.99999982719934155,0.72230848343733678,120,1438.2680836363488,0.27832144268554487,0
PointingFactor1.000000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,1,2,1000001,B4_Physical_Multiobjective,Earth_Relay1_Mars,0,2,61.376726032051906,0.7223086082527399,0.99999999999936684,0.7223086082522826,120,1266.6152805556267,-1,0
PointingFactor1.000000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,1,2,1000001,B4_Physical_Multiobjective,Earth_Relay2_Mars,1,2,50.523033132309187,0.7223086082527399,0.99999999802119521,0.72230860682343212,120,1114.7622366446549,0.35909084756159387,0
PointingFactor0.750000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.75,2,1000001,B1_Shortest_Delay,Direct_Earth_to_Mars,1,1,50.799971723706797,0.84988740916237837,0.99999316157125318,0.84988159726788803,60,1108.3930403289255,1,1
PointingFactor0.750000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.75,2,1000001,B1_Shortest_Delay,Earth_Relay0_Mars,1,2,44.323562481308997,0.7223086082527399,0.99999982719934155,0.72230848343733678,120,1438.2680836363488,0.77064425814594606,0
PointingFactor0.750000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.75,2,1000001,B1_Shortest_Delay,Earth_Relay1_Mars,0,2,61.376726032051906,0.7223086082527399,0.99999999999936684,0.7223086082522826,120,1266.6152805556267,-1,0
PointingFactor0.750000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.75,2,1000001,B1_Shortest_Delay,Earth_Relay2_Mars,1,2,50.523033132309187,0.7223086082527399,0.99999999802119521,0.72230860682343212,120,1114.7622366446549,0.99428649795771684,0
PointingFactor0.750000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.75,2,1000001,B2_Contact_Aware,Direct_Earth_to_Mars,1,1,50.799971723706797,0.84988740916237837,0.99999316157125318,0.84988159726788803,60,1108.3930403289255,0.84988740916237837,1
PointingFactor0.750000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.75,2,1000001,B2_Contact_Aware,Earth_Relay0_Mars,1,2,44.323562481308997,0.7223086082527399,0.99999982719934155,0.72230848343733678,120,1438.2680836363488,0.7223086082527399,0
PointingFactor0.750000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.75,2,1000001,B2_Contact_Aware,Earth_Relay1_Mars,0,2,61.376726032051906,0.7223086082527399,0.99999999999936684,0.7223086082522826,120,1266.6152805556267,-1,0
PointingFactor0.750000,Direct_Pointing_25pct_Power,Direct_Signal_Factor,0.75,2,1000001,B2_Contact_Aware,Earth_Relay2_Mars,1,2,50.523033132309187,0.7223086082527399,0.99999999802119521,0.72230860682343212,120,1114.7622366446549,0.7223086082527399,0
